result_id,result_month,winner_id,loser_id,winner_set_1,winner_set_2,winner_set_3,winner_set_4,winner_set_5,loser_set_1,loser_set_2,loser_set_3,loser_set_4,loser_set_5
132,Aug-19,2594847,1374418,6,6,0,0,0,3,2,0,0,0
133,Aug-19,206796,73237,7,6,0,0,0,6,3,0,0,0
134,Oct-19,218163,3498,7,6,0,0,0,5,4,0,0,0
137,Jul-19,51794,1083703,7,6,0,0,0,6,3,0,0,0
140,Aug-19,606930,4508,6,6,0,0,0,3,2,0,0,0
141,May-19,373773,3534,6,6,0,0,0,1,3,0,0,0
143,Mar-19,2096652,10434,6,6,0,0,0,2,4,0,0,0
145,Feb-19,4686,806774,6,3,7,0,0,2,6,5,0,0
146,Mar-19,10364,53391,6,7,0,0,0,2,6,0,0,0
147,Jun-19,141998,55419,6,6,0,0,0,3,2,0,0,0
148,Oct-19,4401,58977,6,1,6,0,0,4,6,3,0,0
149,Sep-19,64700,94598,2,6,6,0,0,6,3,3,0,0
150,Dec-19,207039,1711873,6,6,6,0,0,2,1,3,0,0
151,Mar-19,11095,52345,7,6,0,0,0,5,2,0,0,0
153,Jul-19,1945656,93398,7,2,6,0,0,5,6,2,0,0
154,Aug-19,67623,53255,6,7,6,0,0,3,5,3,0,0
156,Aug-19,58272,10479,6,4,7,0,0,1,6,6,0,0
158,Sep-19,606930,247320,6,4,6,0,0,4,6,4,0,0
163,Nov-19,3654,3723,6,3,6,0,0,4,6,1,0,0
164,Mar-19,51288,54415,6,6,0,0,0,2,3,0,0,0
165,Jan-19,161912,2230756,6,6,0,0,0,3,1,0,0,0
167,Sep-19,50772,76935,5,6,6,0,0,7,3,2,0,0
168,Aug-19,83218,207037,6,7,0,0,0,3,5,0,0,0
170,Mar-19,51304,76892,6,6,0,0,0,3,3,0,0,0
171,Aug-19,4190,1711873,6,6,0,0,0,4,2,0,0,0
172,Oct-19,93398,60156,6,3,7,0,0,2,6,5,0,0
173,Nov-19,3486,2516692,6,6,0,0,0,3,3,0,0,0
174,Oct-19,10819,10283,6,6,0,0,0,3,1,0,0,0
175,Aug-19,206781,1607952,6,7,0,0,0,1,6,0,0,0
177,Aug-19,398304,11134,6,6,6,0,0,1,7,4,0,0
178,Aug-19,2231281,51304,6,6,0,0,0,2,1,0,0,0
